name,Scientific Name,Endemic Status,Conservation Status,forest,city,Region,Unique Fact,Season,active
Banana Plant,Pinus,Yes,Near Threatened,Orchards,Pune,Northeast India,National flower of India,spring,afternoon
Aloe Vera,Cactaceae,Yes,Vulnerable,Urban Gardens,Bangalore,Northeast India,Fast-growing and high yield,summer,afternoon
Neem Tree,Rosa indica,No,Near Threatened,Urban Gardens,Delhi,North India,Produces delicious fruit,summer,afternoon
Banana Plant,Aloe barbadensis,No,Least Concern,Rainforests,Bangalore,East India,Fast-growing and high yield,winter,morning
Pine Tree,Aloe barbadensis,No,Least Concern,Fields,Kolkata,West India,Produces delicious fruit,summer,morning
Banana Plant,Rosa indica,Yes,Endangered,Deserts,Pune,West India,Produces delicious fruit,winter,night
Banana Plant,Rosa indica,Yes,Least Concern,Fields,Ahmedabad,West India,Symbol of love and beauty,monsoon,morning
Banana Plant,Nelumbo nucifera,Yes,Least Concern,Fields,Hyderabad,East India,Symbol of love and beauty,monsoon,night
Neem Tree,Cactaceae,No,Vulnerable,Deserts,Kolkata,North India,Fast-growing and high yield,winter,night
Lotus,Pinus,Yes,Vulnerable,Urban Gardens,Jaipur,East India,Produces delicious fruit,monsoon,afternoon
Tulsi,Cactaceae,No,Vulnerable,Mountains,Jaipur,Central India,Fast-growing and high yield,monsoon,afternoon
Sunflower,Aloe barbadensis,Yes,Endangered,Deserts,Nagpur,West India,National flower of India,summer,morning
Banana Plant,Mangifera indica,Yes,Vulnerable,Wetlands,Nagpur,Northeast India,Symbol of love and beauty,monsoon,afternoon
Aloe Vera,Pinus,Yes,Near Threatened,Coastal Forests,Bangalore,East India,Healing properties for skin,monsoon,morning
Lotus,Aloe barbadensis,No,Endangered,Urban Gardens,Kolkata,North India,Turns towards the sun,winter,morning
Neem Tree,Azadirachta indica,Yes,Vulnerable,Orchards,Jaipur,West India,Turns towards the sun,winter,night
Banana Plant,Cactaceae,No,Vulnerable,Wetlands,Ahmedabad,Central India,Turns towards the sun,spring,afternoon
Tulsi,Mangifera indica,Yes,Vulnerable,Wetlands,Bangalore,West India,Turns towards the sun,spring,afternoon
Aloe Vera,Aloe barbadensis,Yes,Least Concern,Deserts,Bangalore,West India,Symbol of love and beauty,summer,morning
Neem Tree,Nelumbo nucifera,Yes,Vulnerable,Coastal Forests,Ahmedabad,Northeast India,Survives in arid climates,winter,morning
Sunflower,Rosa indica,No,Near Threatened,Urban Gardens,Lucknow,Central India,Sacred plant in India,spring,morning
Mango Tree,Mangifera indica,Yes,Near Threatened,Mountains,Nagpur,Northeast India,Symbol of love and beauty,summer,morning
Cactus,Helianthus annuus,Yes,Near Threatened,Urban Gardens,Ahmedabad,East India,Turns towards the sun,winter,night
Tulsi,Aloe barbadensis,No,Near Threatened,Wetlands,Chennai,South India,National flower of India,winter,morning
Pine Tree,Aloe barbadensis,Yes,Least Concern,Wetlands,Hyderabad,Northeast India,Known for medicinal properties,spring,night
Banana Plant,Rosa indica,No,Endangered,Rainforests,Ahmedabad,East India,National flower of India,winter,night
Tulsi,Rosa indica,No,Least Concern,Rainforests,Bangalore,Central India,Produces delicious fruit,winter,night
Banana Plant,Musa acuminata,Yes,Near Threatened,Wetlands,Nagpur,East India,Evergreen and long-lived,monsoon,night
Sunflower,Cactaceae,Yes,Vulnerable,Rainforests,Lucknow,East India,Produces delicious fruit,winter,morning
Pine Tree,Aloe barbadensis,No,Near Threatened,Deserts,Kolkata,East India,Sacred plant in India,monsoon,morning
Lotus,Nelumbo nucifera,No,Endangered,Rainforests,Pune,West India,Survives in arid climates,monsoon,night
Pine Tree,Pinus,No,Vulnerable,Grasslands,Lucknow,East India,Symbol of love and beauty,summer,night
Sunflower,Pinus,Yes,Vulnerable,Urban Gardens,Kolkata,Central India,National flower of India,summer,morning
Tulsi,Pinus,Yes,Least Concern,Rainforests,Bangalore,West India,Produces delicious fruit,summer,afternoon
Rose,Ocimum sanctum,Yes,Least Concern,Tropical Forests,Mumbai,Central India,Known for medicinal properties,summer,morning
Sunflower,Azadirachta indica,No,Endangered,Orchards,Ahmedabad,West India,Survives in arid climates,monsoon,night
Sunflower,Azadirachta indica,Yes,Vulnerable,Tropical Forests,Pune,North India,Turns towards the sun,summer,morning
Lotus,Cactaceae,No,Endangered,Fields,Jaipur,North India,Known for medicinal properties,winter,night
Banana Plant,Nelumbo nucifera,Yes,Endangered,Grasslands,Bangalore,North India,Known for medicinal properties,winter,morning
Lotus,Mangifera indica,No,Vulnerable,Orchards,Lucknow,Central India,Known for medicinal properties,spring,afternoon
Cactus,Helianthus annuus,Yes,Endangered,Fields,Bangalore,West India,Symbol of love and beauty,monsoon,night
Rose,Mangifera indica,No,Vulnerable,Deserts,Delhi,Central India,Healing properties for skin,summer,morning
Mango Tree,Azadirachta indica,Yes,Least Concern,Deserts,Lucknow,South India,Turns towards the sun,monsoon,morning
Aloe Vera,Musa acuminata,No,Least Concern,Grasslands,Lucknow,South India,Turns towards the sun,spring,morning
Mango Tree,Mangifera indica,No,Vulnerable,Coastal Forests,Mumbai,South India,Symbol of love and beauty,winter,morning
Pine Tree,Ocimum sanctum,Yes,Endangered,Deserts,Kolkata,North India,Turns towards the sun,summer,afternoon
Mango Tree,Musa acuminata,Yes,Least Concern,Grasslands,Hyderabad,East India,Fast-growing and high yield,monsoon,morning
Mango Tree,Helianthus annuus,Yes,Least Concern,Fields,Kolkata,Central India,Turns towards the sun,winter,morning
Lotus,Ocimum sanctum,No,Least Concern,Coastal Forests,Jaipur,West India,Turns towards the sun,spring,afternoon
Rose,Cactaceae,Yes,Least Concern,Tropical Forests,Amravati,South India,Healing properties for skin,winter,morning
Banana Plant,Rosa indica,No,Least Concern,Coastal Forests,Amravati,West India,National flower of India,spring,afternoon
Lotus,Helianthus annuus,No,Least Concern,Wetlands,Amravati,North India,Survives in arid climates,winter,night
Banana Plant,Azadirachta indica,Yes,Least Concern,Orchards,Jaipur,East India,Produces delicious fruit,summer,morning
Banana Plant,Musa acuminata,No,Vulnerable,Wetlands,Hyderabad,Central India,Symbol of love and beauty,spring,afternoon
Tulsi,Ocimum sanctum,Yes,Least Concern,Urban Gardens,Nagpur,East India,Evergreen and long-lived,monsoon,afternoon
Mango Tree,Cactaceae,No,Near Threatened,Deserts,Nagpur,Northeast India,Evergreen and long-lived,spring,morning
Lotus,Ocimum sanctum,No,Vulnerable,Fields,Nagpur,West India,Known for medicinal properties,monsoon,night
Banana Plant,Helianthus annuus,Yes,Near Threatened,Wetlands,Bangalore,Central India,Sacred plant in India,spring,afternoon
Banana Plant,Aloe barbadensis,No,Least Concern,Fields,Chennai,Central India,Turns towards the sun,winter,afternoon
Banana Plant,Azadirachta indica,No,Near Threatened,Orchards,Chennai,Central India,National flower of India,monsoon,morning
Sunflower,Azadirachta indica,No,Endangered,Wetlands,Kolkata,East India,Known for medicinal properties,spring,morning
Lotus,Azadirachta indica,Yes,Vulnerable,Orchards,Lucknow,West India,Healing properties for skin,spring,morning
Aloe Vera,Rosa indica,Yes,Endangered,Fields,Kolkata,South India,Fast-growing and high yield,winter,night
Lotus,Ocimum sanctum,Yes,Least Concern,Orchards,Jaipur,Northeast India,Turns towards the sun,monsoon,night
Neem Tree,Musa acuminata,Yes,Least Concern,Mountains,Mumbai,West India,Healing properties for skin,summer,afternoon
Cactus,Aloe barbadensis,Yes,Endangered,Tropical Forests,Chennai,Central India,Healing properties for skin,spring,afternoon
Rose,Cactaceae,Yes,Endangered,Grasslands,Kolkata,East India,Symbol of love and beauty,winter,morning
Lotus,Ocimum sanctum,Yes,Least Concern,Rainforests,Mumbai,East India,Produces delicious fruit,winter,night
Pine Tree,Helianthus annuus,Yes,Least Concern,Urban Gardens,Mumbai,West India,Survives in arid climates,spring,morning
Tulsi,Azadirachta indica,Yes,Near Threatened,Fields,Jaipur,West India,Turns towards the sun,summer,afternoon
Neem Tree,Musa acuminata,Yes,Near Threatened,Tropical Forests,Ahmedabad,North India,Produces delicious fruit,monsoon,afternoon
Cactus,Azadirachta indica,Yes,Vulnerable,Urban Gardens,Jaipur,North India,Known for medicinal properties,spring,night
Mango Tree,Mangifera indica,Yes,Vulnerable,Deserts,Chennai,Central India,Survives in arid climates,monsoon,afternoon
Mango Tree,Helianthus annuus,No,Near Threatened,Fields,Bangalore,Northeast India,Sacred plant in India,summer,afternoon
Lotus,Helianthus annuus,No,Vulnerable,Rainforests,Pune,North India,Evergreen and long-lived,summer,morning
Pine Tree,Mangifera indica,Yes,Near Threatened,Fields,Nagpur,West India,Survives in arid climates,monsoon,night
Pine Tree,Azadirachta indica,No,Vulnerable,Urban Gardens,Mumbai,Northeast India,National flower of India,winter,afternoon
Mango Tree,Nelumbo nucifera,No,Vulnerable,Mountains,Chennai,South India,Produces delicious fruit,winter,night
Aloe Vera,Helianthus annuus,No,Vulnerable,Orchards,Pune,North India,Turns towards the sun,monsoon,morning
Cactus,Aloe barbadensis,Yes,Least Concern,Wetlands,Bangalore,Northeast India,National flower of India,winter,afternoon
Banana Plant,Ocimum sanctum,No,Near Threatened,Fields,Pune,Northeast India,Evergreen and long-lived,winter,morning
Tulsi,Azadirachta indica,Yes,Endangered,Orchards,Mumbai,East India,Evergreen and long-lived,summer,morning
Sunflower,Rosa indica,Yes,Endangered,Tropical Forests,Kolkata,East India,Survives in arid climates,summer,morning
Cactus,Cactaceae,No,Near Threatened,Urban Gardens,Hyderabad,West India,Fast-growing and high yield,spring,morning
Lotus,Aloe barbadensis,No,Vulnerable,Fields,Jaipur,West India,Turns towards the sun,winter,night
Pine Tree,Helianthus annuus,No,Endangered,Rainforests,Mumbai,South India,Survives in arid climates,winter,night
Banana Plant,Cactaceae,No,Near Threatened,Urban Gardens,Nagpur,South India,Fast-growing and high yield,winter,afternoon
Aloe Vera,Azadirachta indica,Yes,Endangered,Fields,Nagpur,East India,Produces delicious fruit,spring,morning
Tulsi,Helianthus annuus,No,Endangered,Orchards,Pune,Central India,Survives in arid climates,spring,afternoon
Banana Plant,Mangifera indica,No,Least Concern,Orchards,Pune,West India,National flower of India,summer,night
Banana Plant,Azadirachta indica,No,Near Threatened,Grasslands,Jaipur,North India,Survives in arid climates,winter,afternoon
Mango Tree,Ocimum sanctum,Yes,Vulnerable,Coastal Forests,Delhi,South India,Sacred plant in India,winter,night
Rose,Rosa indica,No,Least Concern,Deserts,Pune,South India,Known for medicinal properties,spring,night
Neem Tree,Musa acuminata,Yes,Near Threatened,Coastal Forests,Amravati,West India,Symbol of love and beauty,spring,night
Aloe Vera,Cactaceae,Yes,Least Concern,Fields,Ahmedabad,North India,Produces delicious fruit,spring,afternoon
Mango Tree,Nelumbo nucifera,No,Vulnerable,Coastal Forests,Hyderabad,Northeast India,Fast-growing and high yield,winter,afternoon
Rose,Rosa indica,No,Near Threatened,Fields,Pune,East India,Known for medicinal properties,winter,night
Neem Tree,Azadirachta indica,Yes,Vulnerable,Wetlands,Mumbai,Central India,Evergreen and long-lived,monsoon,night
Lotus,Rosa indica,No,Endangered,Wetlands,Lucknow,West India,Sacred plant in India,winter,afternoon
Lotus,Helianthus annuus,No,Least Concern,Tropical Forests,Pune,West India,Healing properties for skin,spring,morning
Tulsi,Ocimum sanctum,No,Least Concern,Wetlands,Pune,East India,Known for medicinal properties,winter,morning
Pine Tree,Musa acuminata,Yes,Vulnerable,Urban Gardens,Mumbai,Central India,Healing properties for skin,spring,afternoon
Lotus,Cactaceae,Yes,Near Threatened,Mountains,Pune,Central India,Known for medicinal properties,monsoon,morning
Pine Tree,Ocimum sanctum,No,Near Threatened,Orchards,Pune,Central India,Evergreen and long-lived,spring,night
Tulsi,Pinus,Yes,Least Concern,Coastal Forests,Nagpur,South India,National flower of India,summer,morning
Rose,Nelumbo nucifera,No,Near Threatened,Fields,Kolkata,North India,Fast-growing and high yield,monsoon,afternoon
Pine Tree,Aloe barbadensis,Yes,Endangered,Coastal Forests,Ahmedabad,North India,Survives in arid climates,summer,morning
Aloe Vera,Nelumbo nucifera,No,Least Concern,Wetlands,Mumbai,Central India,Produces delicious fruit,winter,night
Cactus,Nelumbo nucifera,Yes,Least Concern,Deserts,Nagpur,Central India,Survives in arid climates,monsoon,afternoon
Lotus,Rosa indica,Yes,Near Threatened,Grasslands,Ahmedabad,North India,Sacred plant in India,summer,night
Mango Tree,Cactaceae,No,Least Concern,Wetlands,Amravati,West India,Fast-growing and high yield,monsoon,morning
Rose,Mangifera indica,Yes,Near Threatened,Coastal Forests,Hyderabad,North India,Healing properties for skin,winter,afternoon
Sunflower,Azadirachta indica,Yes,Near Threatened,Grasslands,Amravati,South India,Turns towards the sun,spring,night
Rose,Musa acuminata,Yes,Endangered,Rainforests,Delhi,South India,Known for medicinal properties,spring,night
Aloe Vera,Pinus,Yes,Endangered,Deserts,Nagpur,East India,Symbol of love and beauty,monsoon,afternoon
Pine Tree,Ocimum sanctum,Yes,Near Threatened,Mountains,Hyderabad,Central India,Symbol of love and beauty,winter,morning
Neem Tree,Helianthus annuus,Yes,Endangered,Coastal Forests,Jaipur,Northeast India,Evergreen and long-lived,winter,morning
Tulsi,Ocimum sanctum,Yes,Least Concern,Urban Gardens,Chennai,Central India,Known for medicinal properties,spring,morning
Cactus,Musa acuminata,Yes,Endangered,Coastal Forests,Nagpur,North India,Known for medicinal properties,summer,afternoon
Sunflower,Pinus,Yes,Vulnerable,Mountains,Jaipur,Northeast India,Known for medicinal properties,summer,morning
Tulsi,Nelumbo nucifera,Yes,Near Threatened,Orchards,Lucknow,Central India,Symbol of love and beauty,monsoon,morning
Tulsi,Ocimum sanctum,Yes,Least Concern,Fields,Hyderabad,Northeast India,Produces delicious fruit,summer,night
Cactus,Mangifera indica,Yes,Least Concern,Tropical Forests,Hyderabad,West India,Produces delicious fruit,spring,afternoon
Tulsi,Mangifera indica,No,Least Concern,Orchards,Hyderabad,West India,National flower of India,monsoon,night
Mango Tree,Aloe barbadensis,No,Least Concern,Urban Gardens,Mumbai,Central India,Turns towards the sun,winter,afternoon
Mango Tree,Azadirachta indica,No,Near Threatened,Urban Gardens,Chennai,Central India,Produces delicious fruit,monsoon,morning
Pine Tree,Helianthus annuus,Yes,Near Threatened,Rainforests,Mumbai,West India,Known for medicinal properties,monsoon,night
Rose,Azadirachta indica,Yes,Near Threatened,Fields,Chennai,South India,Known for medicinal properties,spring,afternoon
Sunflower,Musa acuminata,Yes,Near Threatened,Tropical Forests,Pune,Northeast India,National flower of India,spring,night
Lotus,Azadirachta indica,No,Vulnerable,Mountains,Ahmedabad,Northeast India,Produces delicious fruit,monsoon,night
Sunflower,Helianthus annuus,Yes,Near Threatened,Fields,Hyderabad,Northeast India,Produces delicious fruit,spring,night
Neem Tree,Musa acuminata,No,Least Concern,Deserts,Chennai,North India,Healing properties for skin,winter,afternoon
Rose,Ocimum sanctum,No,Near Threatened,Orchards,Amravati,South India,Evergreen and long-lived,spring,morning
Aloe Vera,Azadirachta indica,Yes,Vulnerable,Coastal Forests,Ahmedabad,North India,National flower of India,monsoon,night
Cactus,Cactaceae,No,Vulnerable,Fields,Pune,North India,Produces delicious fruit,spring,morning
Lotus,Ocimum sanctum,Yes,Near Threatened,Wetlands,Ahmedabad,North India,National flower of India,winter,night
Rose,Aloe barbadensis,No,Near Threatened,Orchards,Nagpur,Central India,National flower of India,winter,morning
Banana Plant,Mangifera indica,Yes,Endangered,Grasslands,Amravati,Central India,Produces delicious fruit,winter,night
Rose,Nelumbo nucifera,No,Endangered,Wetlands,Delhi,Northeast India,Survives in arid climates,summer,afternoon
Tulsi,Aloe barbadensis,No,Endangered,Coastal Forests,Lucknow,West India,Sacred plant in India,winter,afternoon
Sunflower,Pinus,Yes,Endangered,Orchards,Chennai,Central India,Survives in arid climates,spring,afternoon
Pine Tree,Ocimum sanctum,Yes,Endangered,Fields,Delhi,Central India,Fast-growing and high yield,winter,night
Cactus,Cactaceae,Yes,Vulnerable,Fields,Kolkata,North India,Fast-growing and high yield,summer,afternoon
Sunflower,Mangifera indica,No,Least Concern,Wetlands,Amravati,Central India,National flower of India,winter,morning
Pine Tree,Nelumbo nucifera,Yes,Vulnerable,Urban Gardens,Hyderabad,South India,Symbol of love and beauty,winter,morning
Banana Plant,Mangifera indica,No,Least Concern,Tropical Forests,Amravati,West India,Sacred plant in India,monsoon,morning
Aloe Vera,Cactaceae,Yes,Endangered,Grasslands,Nagpur,West India,Produces delicious fruit,monsoon,morning
Mango Tree,Ocimum sanctum,No,Least Concern,Rainforests,Hyderabad,West India,Survives in arid climates,spring,night
Mango Tree,Cactaceae,No,Least Concern,Tropical Forests,Amravati,East India,Produces delicious fruit,winter,afternoon
Neem Tree,Rosa indica,No,Least Concern,Coastal Forests,Ahmedabad,Central India,Sacred plant in India,summer,night
Tulsi,Helianthus annuus,Yes,Vulnerable,Mountains,Kolkata,Northeast India,National flower of India,summer,morning
Mango Tree,Musa acuminata,Yes,Vulnerable,Fields,Delhi,West India,Healing properties for skin,spring,afternoon
Mango Tree,Azadirachta indica,No,Vulnerable,Grasslands,Delhi,South India,Evergreen and long-lived,winter,night
Neem Tree,Rosa indica,No,Vulnerable,Fields,Kolkata,West India,Survives in arid climates,monsoon,afternoon
Neem Tree,Ocimum sanctum,No,Vulnerable,Urban Gardens,Delhi,Central India,Symbol of love and beauty,monsoon,morning
Lotus,Musa acuminata,No,Endangered,Deserts,Amravati,East India,Sacred plant in India,winter,afternoon
Neem Tree,Ocimum sanctum,Yes,Vulnerable,Grasslands,Bangalore,East India,Sacred plant in India,spring,night
Cactus,Azadirachta indica,Yes,Near Threatened,Urban Gardens,Amravati,Northeast India,National flower of India,monsoon,afternoon
Tulsi,Rosa indica,No,Endangered,Urban Gardens,Jaipur,South India,Fast-growing and high yield,winter,night
Mango Tree,Rosa indica,No,Least Concern,Rainforests,Jaipur,South India,Produces delicious fruit,monsoon,morning
Banana Plant,Cactaceae,No,Near Threatened,Orchards,Kolkata,Northeast India,Symbol of love and beauty,winter,afternoon
Rose,Pinus,No,Least Concern,Fields,Chennai,West India,Turns towards the sun,monsoon,morning
Sunflower,Helianthus annuus,No,Vulnerable,Rainforests,Pune,Northeast India,Fast-growing and high yield,monsoon,night
Neem Tree,Helianthus annuus,Yes,Least Concern,Tropical Forests,Nagpur,North India,Evergreen and long-lived,winter,afternoon
Rose,Ocimum sanctum,No,Vulnerable,Grasslands,Jaipur,Central India,Symbol of love and beauty,winter,afternoon
Mango Tree,Azadirachta indica,Yes,Near Threatened,Grasslands,Ahmedabad,North India,National flower of India,winter,night
Lotus,Nelumbo nucifera,Yes,Endangered,Urban Gardens,Delhi,Central India,Sacred plant in India,summer,morning
Mango Tree,Rosa indica,No,Vulnerable,Tropical Forests,Ahmedabad,North India,Produces delicious fruit,spring,morning
Pine Tree,Ocimum sanctum,No,Near Threatened,Fields,Ahmedabad,West India,Produces delicious fruit,monsoon,afternoon
Mango Tree,Nelumbo nucifera,Yes,Least Concern,Rainforests,Lucknow,North India,Fast-growing and high yield,spring,morning
Banana Plant,Musa acuminata,No,Vulnerable,Grasslands,Pune,Northeast India,Known for medicinal properties,monsoon,morning
Neem Tree,Rosa indica,Yes,Endangered,Tropical Forests,Chennai,Central India,Known for medicinal properties,summer,afternoon
Pine Tree,Pinus,Yes,Endangered,Coastal Forests,Mumbai,Northeast India,Symbol of love and beauty,monsoon,morning
Pine Tree,Helianthus annuus,Yes,Least Concern,Urban Gardens,Ahmedabad,Central India,Fast-growing and high yield,winter,morning
Cactus,Nelumbo nucifera,Yes,Endangered,Rainforests,Bangalore,South India,National flower of India,spring,night
Banana Plant,Nelumbo nucifera,No,Near Threatened,Fields,Nagpur,East India,Known for medicinal properties,winter,afternoon
Pine Tree,Mangifera indica,No,Vulnerable,Coastal Forests,Pune,Central India,Known for medicinal properties,spring,night
Rose,Azadirachta indica,Yes,Vulnerable,Coastal Forests,Pune,Northeast India,Turns towards the sun,spring,morning
Banana Plant,Mangifera indica,No,Endangered,Fields,Pune,Northeast India,Known for medicinal properties,winter,afternoon
Lotus,Mangifera indica,Yes,Vulnerable,Tropical Forests,Amravati,Central India,Fast-growing and high yield,summer,afternoon
Sunflower,Aloe barbadensis,No,Near Threatened,Fields,Kolkata,West India,Turns towards the sun,monsoon,night
Banana Plant,Musa acuminata,Yes,Near Threatened,Fields,Jaipur,West India,Healing properties for skin,spring,afternoon
Pine Tree,Rosa indica,No,Endangered,Urban Gardens,Hyderabad,Northeast India,Turns towards the sun,spring,night
Sunflower,Pinus,Yes,Near Threatened,Urban Gardens,Ahmedabad,South India,National flower of India,summer,morning
Neem Tree,Azadirachta indica,No,Least Concern,Rainforests,Kolkata,South India,Evergreen and long-lived,summer,afternoon
Mango Tree,Aloe barbadensis,Yes,Least Concern,Tropical Forests,Bangalore,South India,National flower of India,monsoon,night
Aloe Vera,Pinus,No,Endangered,Fields,Nagpur,West India,Produces delicious fruit,winter,afternoon
Tulsi,Pinus,Yes,Vulnerable,Fields,Lucknow,North India,Symbol of love and beauty,spring,morning
Mango Tree,Aloe barbadensis,Yes,Vulnerable,Orchards,Nagpur,East India,Produces delicious fruit,winter,night
Mango Tree,Ocimum sanctum,No,Endangered,Deserts,Kolkata,East India,Known for medicinal properties,summer,night
Aloe Vera,Cactaceae,Yes,Endangered,Rainforests,Kolkata,Northeast India,Known for medicinal properties,winter,afternoon
Neem Tree,Azadirachta indica,No,Endangered,Orchards,Lucknow,South India,Known for medicinal properties,summer,afternoon
Lotus,Musa acuminata,No,Endangered,Deserts,Ahmedabad,North India,Turns towards the sun,winter,morning
Pine Tree,Cactaceae,No,Endangered,Mountains,Delhi,Central India,Fast-growing and high yield,summer,afternoon
Cactus,Pinus,Yes,Least Concern,Deserts,Amravati,West India,Fast-growing and high yield,summer,afternoon
Tulsi,Helianthus annuus,Yes,Vulnerable,Wetlands,Nagpur,South India,Survives in arid climates,summer,morning
Cactus,Aloe barbadensis,Yes,Near Threatened,Wetlands,Amravati,West India,Produces delicious fruit,monsoon,afternoon
Neem Tree,Mangifera indica,Yes,Least Concern,Urban Gardens,Pune,Northeast India,Sacred plant in India,spring,afternoon
Lotus,Musa acuminata,Yes,Near Threatened,Fields,Nagpur,Northeast India,Turns towards the sun,monsoon,morning
Lotus,Ocimum sanctum,Yes,Least Concern,Grasslands,Amravati,Northeast India,Fast-growing and high yield,monsoon,night
Pine Tree,Aloe barbadensis,No,Least Concern,Orchards,Amravati,Central India,Fast-growing and high yield,summer,night
Rose,Aloe barbadensis,Yes,Near Threatened,Fields,Hyderabad,East India,Produces delicious fruit,winter,morning
Tulsi,Ocimum sanctum,No,Vulnerable,Fields,Delhi,Central India,Turns towards the sun,winter,afternoon
Tulsi,Azadirachta indica,Yes,Endangered,Grasslands,Chennai,West India,National flower of India,winter,morning
Lotus,Aloe barbadensis,No,Near Threatened,Rainforests,Jaipur,East India,Known for medicinal properties,winter,afternoon
Rose,Aloe barbadensis,No,Least Concern,Grasslands,Mumbai,Central India,Turns towards the sun,monsoon,morning
Rose,Pinus,No,Endangered,Wetlands,Mumbai,West India,National flower of India,summer,morning
Lotus,Mangifera indica,Yes,Near Threatened,Urban Gardens,Kolkata,South India,National flower of India,monsoon,morning
Aloe Vera,Azadirachta indica,Yes,Least Concern,Fields,Lucknow,South India,Produces delicious fruit,monsoon,morning
Lotus,Rosa indica,Yes,Endangered,Deserts,Lucknow,South India,Fast-growing and high yield,spring,morning
Neem Tree,Mangifera indica,No,Least Concern,Coastal Forests,Mumbai,Central India,National flower of India,monsoon,morning
Sunflower,Nelumbo nucifera,No,Near Threatened,Coastal Forests,Pune,Central India,Evergreen and long-lived,winter,morning
Pine Tree,Rosa indica,Yes,Vulnerable,Urban Gardens,Lucknow,South India,Fast-growing and high yield,summer,night
Pine Tree,Ocimum sanctum,No,Endangered,Rainforests,Jaipur,West India,Sacred plant in India,spring,morning
Rose,Ocimum sanctum,No,Vulnerable,Wetlands,Mumbai,East India,Sacred plant in India,monsoon,morning
Mango Tree,Pinus,No,Vulnerable,Tropical Forests,Ahmedabad,East India,Healing properties for skin,spring,morning
Rose,Ocimum sanctum,No,Least Concern,Fields,Hyderabad,Northeast India,Sacred plant in India,spring,morning
Rose,Aloe barbadensis,Yes,Near Threatened,Mountains,Hyderabad,South India,Healing properties for skin,winter,morning
Lotus,Azadirachta indica,No,Near Threatened,Mountains,Lucknow,North India,Turns towards the sun,spring,night
Rose,Cactaceae,Yes,Endangered,Tropical Forests,Delhi,West India,Known for medicinal properties,spring,night
Banana Plant,Cactaceae,Yes,Least Concern,Orchards,Kolkata,North India,Fast-growing and high yield,monsoon,afternoon
Tulsi,Pinus,No,Endangered,Mountains,Delhi,North India,Known for medicinal properties,spring,afternoon
Pine Tree,Nelumbo nucifera,Yes,Vulnerable,Mountains,Pune,South India,Known for medicinal properties,monsoon,morning
Tulsi,Musa acuminata,No,Near Threatened,Coastal Forests,Hyderabad,East India,Symbol of love and beauty,monsoon,morning
Tulsi,Mangifera indica,Yes,Vulnerable,Tropical Forests,Kolkata,West India,Known for medicinal properties,summer,night
Tulsi,Ocimum sanctum,Yes,Vulnerable,Wetlands,Mumbai,North India,Sacred plant in India,summer,afternoon
Tulsi,Cactaceae,Yes,Vulnerable,Wetlands,Mumbai,North India,Sacred plant in India,spring,morning
Aloe Vera,Cactaceae,No,Vulnerable,Mountains,Jaipur,West India,Known for medicinal properties,spring,morning
Rose,Cactaceae,No,Near Threatened,Rainforests,Amravati,North India,Sacred plant in India,spring,morning
Mango Tree,Aloe barbadensis,No,Endangered,Coastal Forests,Kolkata,Northeast India,Turns towards the sun,monsoon,morning
Tulsi,Musa acuminata,No,Endangered,Tropical Forests,Pune,Central India,Sacred plant in India,winter,afternoon
Rose,Helianthus annuus,Yes,Endangered,Fields,Nagpur,North India,Evergreen and long-lived,spring,night
Cactus,Pinus,No,Endangered,Fields,Kolkata,North India,Evergreen and long-lived,winter,afternoon
Pine Tree,Musa acuminata,No,Near Threatened,Mountains,Ahmedabad,Northeast India,Symbol of love and beauty,spring,afternoon
Tulsi,Helianthus annuus,No,Least Concern,Urban Gardens,Delhi,South India,Symbol of love and beauty,monsoon,night
Rose,Cactaceae,Yes,Vulnerable,Coastal Forests,Delhi,West India,Fast-growing and high yield,summer,night
Lotus,Pinus,Yes,Endangered,Wetlands,Delhi,North India,National flower of India,monsoon,night
Lotus,Pinus,No,Vulnerable,Wetlands,Delhi,South India,Fast-growing and high yield,monsoon,afternoon
Banana Plant,Mangifera indica,Yes,Near Threatened,Fields,Pune,Central India,Sacred plant in India,spring,night
Tulsi,Rosa indica,Yes,Endangered,Wetlands,Delhi,North India,Fast-growing and high yield,monsoon,morning
Sunflower,Nelumbo nucifera,Yes,Vulnerable,Fields,Kolkata,Northeast India,Turns towards the sun,spring,night
Lotus,Cactaceae,Yes,Vulnerable,Orchards,Lucknow,South India,Healing properties for skin,summer,afternoon
Mango Tree,Nelumbo nucifera,Yes,Vulnerable,Wetlands,Chennai,Northeast India,Healing properties for skin,summer,afternoon
Cactus,Rosa indica,No,Least Concern,Grasslands,Jaipur,West India,Known for medicinal properties,spring,morning
Lotus,Azadirachta indica,No,Vulnerable,Mountains,Delhi,North India,Sacred plant in India,spring,morning
Cactus,Ocimum sanctum,No,Near Threatened,Rainforests,Chennai,South India,Symbol of love and beauty,winter,morning
Mango Tree,Cactaceae,Yes,Vulnerable,Deserts,Nagpur,Northeast India,Healing properties for skin,spring,night
Neem Tree,Helianthus annuus,Yes,Near Threatened,Mountains,Ahmedabad,West India,Sacred plant in India,summer,afternoon
Sunflower,Pinus,No,Endangered,Coastal Forests,Delhi,West India,Sacred plant in India,monsoon,night
Banana Plant,Nelumbo nucifera,Yes,Least Concern,Coastal Forests,Ahmedabad,Northeast India,Sacred plant in India,summer,night
